~~~~~~~~~~~~~~~~~~ Created 20200827-202933.log ~~~~~~~~~~~~~~~~~~
[20:29:35] [INFO] speech module import done.
[20:29:35] [INFO] sopia module import done.
[20:29:36] [SUCCESS] Element load complete
[20:29:36] [SUCCESS] DOMContentLoad complete
[20:29:37] [INFO] Webview dom-ready.
[20:30:02] [SUCCESS] Login success (4324890)
[20:30:40] [SUCCESS] Login success (6272721)
[20:30:42] [SUCCESS] Login success (288525)
[20:30:49] [SUCCESS] Login success (6274095)
[20:32:55] [SUCCESS] Login success (5483893)
[20:34:57] [SUCCESS] Login success (4326162)
[20:35:33] [SUCCESS] Login success (6273701)
[20:35:34] [SUCCESS] Login success (6258197)
[20:36:05] [SUCCESS] Login success (6273701)
[20:36:18] [SUCCESS] Login success (5868040)
[20:40:03] [SUCCESS] Login success (6143542)
[20:41:05] [SUCCESS] Login success (4376423)
[20:42:16] [SUCCESS] Login success (4496873)
[20:42:27] [SUCCESS] Login success (5448620)
[20:42:49] [SUCCESS] Login success (5694184)
[20:44:12] [SUCCESS] Login success (43299)
[20:45:41] [SUCCESS] Login success (5306290)
[20:46:16] [SUCCESS] Login success (6255541)
[20:46:49] [SUCCESS] Login success (6096606)
[20:47:45] [SUCCESS] Login success (340079)
[20:48:22] [SUCCESS] Login success (6274190)
[20:48:42] [SUCCESS] Login success (4201936)
[20:48:45] [SUCCESS] Login success (4646510)
[20:49:08] [SUCCESS] Login success (6273778)
[20:49:50] [SUCCESS] Login success (5007672)
[20:50:26] [SUCCESS] Login success (5023170)
[20:50:28] [SUCCESS] Login success (1569639)
[20:50:50] [SUCCESS] Login success (587427)
[20:51:26] [SUCCESS] Login success (303443)
[20:53:07] [SUCCESS] Login success (6274209)
[20:53:13] [SUCCESS] Login success (6273816)
[20:53:37] [SUCCESS] Login success (6274202)
[20:53:46] [SUCCESS] Login success (5278377)
[20:55:19] [SUCCESS] Login success (5306290)
[20:56:02] [SUCCESS] Login success (2883730)
[20:56:30] [SUCCESS] Login success (3592275)
[20:59:20] [SUCCESS] Login success (5475594)
[20:59:32] [SUCCESS] Login success (320215)
